epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,10605,1.32728,1.08238,1.79222,0.88455,0.89593,0.91497,0.59736,1.1965,0.79606,1.79239,0.002674,0.002674,0.002674
39,10942.6,1.31878,1.05644,1.79022,0.92094,0.86896,0.91457,0.61757,1.16011,0.75825,1.76847,0.002476,0.002476,0.002476
39,10891.1,1.31878,1.05644,1.79022,0.92094,0.86896,0.91457,0.61757,1.16011,0.75825,1.76847,0.002476,0.002476,0.002476
40,11230.9,1.3079,1.04324,1.7746,0.93234,0.8612,0.91922,0.60392,1.19185,0.75641,1.79665,0.002278,0.002278,0.002278
40,11182.5,1.3079,1.04324,1.7746,0.93234,0.8612,0.91922,0.60392,1.19185,0.75641,1.79665,0.002278,0.002278,0.002278
41,11504.1,1.2073,0.8358,1.75036,0.90036,0.89268,0.9183,0.59416,1.21162,0.76546,1.80259,0.00208,0.00208,0.00208
41,11451.6,1.2073,0.8358,1.75036,0.90036,0.89268,0.9183,0.59416,1.21162,0.76546,1.80259,0.00208,0.00208,0.00208
42,11770.9,1.15204,0.77979,1.70123,0.94449,0.84677,0.92656,0.61836,1.17833,0.74073,1.75931,0.001882,0.001882,0.001882
42,11719.8,1.15204,0.77979,1.70123,0.94449,0.84677,0.92656,0.61836,1.17833,0.74073,1.75931,0.001882,0.001882,0.001882
43,12029.8,1.13632,0.75972,1.68952,0.93729,0.87387,0.93115,0.6265,1.14902,0.70241,1.73888,0.001684,0.001684,0.001684
43,11976,1.13632,0.75972,1.68952,0.93729,0.87387,0.93115,0.6265,1.14902,0.70241,1.73888,0.001684,0.001684,0.001684
44,12291.4,1.11609,0.72751,1.67874,0.93213,0.89315,0.93146,0.64428,1.14035,0.68604,1.7346,0.001486,0.001486,0.001486
44,12236.6,1.11609,0.72751,1.67874,0.93213,0.89315,0.93146,0.64428,1.14035,0.68604,1.7346,0.001486,0.001486,0.001486
45,12560.6,1.10141,0.72757,1.67255,0.96685,0.88203,0.93523,0.65082,1.10489,0.68335,1.7066,0.001288,0.001288,0.001288
45,12498.2,1.10141,0.72757,1.67255,0.96685,0.88203,0.93523,0.65082,1.10489,0.68335,1.7066,0.001288,0.001288,0.001288
46,12826.4,1.10551,0.70307,1.65394,0.96011,0.87353,0.93173,0.64467,1.12258,0.66899,1.72638,0.00109,0.00109,0.00109
46,12762.8,1.10551,0.70307,1.65394,0.96011,0.87353,0.93173,0.64467,1.12258,0.66899,1.72638,0.00109,0.00109,0.00109
47,13088.8,1.07954,0.69461,1.63068,0.94743,0.89516,0.93421,0.64851,1.13575,0.65641,1.74268,0.000892,0.000892,0.000892
47,13025.1,1.07954,0.69461,1.63068,0.94743,0.89516,0.93421,0.64851,1.13575,0.65641,1.74268,0.000892,0.000892,0.000892
48,13350.8,1.07134,0.69647,1.61772,0.94781,0.90121,0.93531,0.66331,1.09505,0.65528,1.69325,0.000694,0.000694,0.000694
48,13287.2,1.07134,0.69647,1.61772,0.94781,0.90121,0.93531,0.66331,1.09505,0.65528,1.69325,0.000694,0.000694,0.000694
49,13616.4,1.07376,0.68816,1.62868,0.95102,0.90323,0.93618,0.66489,1.08573,0.65283,1.67607,0.000496,0.000496,0.000496
49,13552.9,1.07376,0.68816,1.62868,0.95102,0.90323,0.93618,0.66489,1.08573,0.65283,1.67607,0.000496,0.000496,0.000496
50,13882.1,1.05483,0.6768,1.60194,0.95142,0.89718,0.93912,0.66759,1.07745,0.63338,1.67352,0.000298,0.000298,0.000298
50,13818.2,1.05483,0.6768,1.60194,0.95142,0.89718,0.93912,0.66759,1.07745,0.63338,1.67352,0.000298,0.000298,0.000298
